provinsi_id,kode_satker,nama satuankerja
27,7302,BPS Kabupaten Bulukumba
27,7303,BPS Kabupaten Bantaeng
27,7304,BPS Kabupaten Jeneponto
27,7305,BPS Kabupaten Takalar
27,7306,BPS Kabupaten Gowa
27,7307,BPS Kabupaten Sinjai
27,7308,BPS Kabupaten Maros
27,7309,BPS Kabupaten Pangkajene Dan Kepulauan
27,7310,BPS Kabupaten Barru
27,7311,BPS Kabupaten Bone
27,7312,BPS Kabupaten Soppeng
27,7313,BPS Kabupaten Wajo
27,7314,BPS Kabupaten Sidenreng Rappang
27,7315,BPS Kabupaten Pinrang
27,7316,BPS Kabupaten Enrekang
27,7317,BPS Kabupaten Luwu
27,7318,BPS Kabupaten Tana Toraja
27,7322,BPS Kabupaten Luwu Utara
27,7325,BPS Kabupaten Luwu Timur
27,7326,BPS Kabupaten Toraja Utara
27,7371,BPS Kota Makassar
27,7372,BPS Kota Parepare
27,7373,BPS Kota Palopo
28,7400,BPS Provinsi Sulawesi Tenggara
28,7401,BPS Kabupaten Buton
28,7402,BPS Kabupaten Muna
28,7403,BPS Kabupaten Konawe
28,7404,BPS Kabupaten Kolaka
28,7405,BPS Kabupaten Konawe Selatan
28,7406,BPS Kabupaten Bombana
28,7407,BPS Kabupaten Wakatobi
28,7408,BPS Kabupaten Kolaka Utara
28,7409,BPS Kabupaten Buton Utara
28,7410,BPS Kabupaten Konawe Utara
28,7411,BPS Kabupaten Kolaka Timur
28,7412,BPS Kabupaten Konawe Kepulauan
28,7413,BPS Kabupaten Muna Barat
28,7414,BPS Kabupaten Buton Tengah
28,7415,BPS Kabupaten Buton Selatan
28,7471,BPS Kota Kendari
28,7472,BPS Kota Baubau
29,7500,BPS Provinsi Gorontalo
29,7501,BPS Kabupaten Boalemo
29,7502,BPS Kabupaten Gorontalo
29,7503,BPS Kabupaten Pohuwato
29,7504,BPS Kabupaten Bone Bolango
29,7505,BPS Kabupaten Gorontalo Utara
29,7571,BPS Kota Gorontalo
30,7600,BPS Provinsi Sulawesi Barat
30,7601,BPS Kabupaten Majene
30,7602,BPS Kabupaten Polewali Mandar
30,7603,BPS Kabupaten Mamasa
30,7604,BPS Kabupaten Mamuju
30,7605,BPS Kabupaten Pasangkayu
30,7606,BPS Kabupaten Mamuju Tengah
31,8100,BPS Provinsi Maluku
31,8101,BPS Kabupaten Kepulauan Tanimbar
31,8102,BPS Kabupaten Maluku Tenggara
31,8103,BPS Kabupaten Maluku Tengah
31,8104,BPS Kabupaten Buru
31,8105,BPS Kabupaten Kepulauan Aru
31,8106,BPS Kabupaten Seram Bagian Barat
31,8107,BPS Kabupaten Seram Bagian Timur
31,8108,BPS Kabupaten Maluku Barat Daya
31,8109,BPS Kabupaten Buru Selatan
31,8171,BPS Kota Ambon
31,8172,BPS Kota Tual
32,8200,BPS Provinsi Maluku Utara
32,8201,BPS Kabupaten Halmahera Barat
32,8202,BPS Kabupaten Halmahera Tengah
32,8203,BPS Kabupaten Kepulauan Sula
32,8204,BPS Kabupaten Halmahera Selatan
32,8205,BPS Kabupaten Halmahera Utara
32,8206,BPS Kabupaten Halmahera Timur
32,8207,BPS Kabupaten Pulau Morotai
32,8208,BPS Kabupaten Pulau Taliabu
32,8271,BPS Kota Ternate
32,8272,BPS Kota Tidore Kepulauan
33,9100,BPS Provinsi Papua Barat
33,9101,BPS Kabupaten Fakfak
33,9102,BPS Kabupaten Kaimana
33,9103,BPS Kabupaten Teluk Wondama
33,9104,BPS Kabupaten Teluk Bintuni
33,9105,BPS Kabupaten Manokwari
33,9106,BPS Kabupaten Sorong Selatan
33,9107,BPS Kabupaten Sorong
33,9108,BPS Kabupaten Raja Ampat
33,9109,BPS Kabupaten Tambrauw
33,9110,BPS Kabupaten Maybrat
33,9111,BPS Kabupaten Manokwari Selatan
33,9112,BPS Kabupaten Pegunungan Arfak
33,9171,BPS Kota Sorong
34,9400,BPS Provinsi Papua
34,9401,BPS Kabupaten Merauke
34,9402,BPS Kabupaten Jayawijaya
34,9403,BPS Kabupaten Jayapura
34,9404,BPS Kabupaten Nabire
34,9408,BPS Kabupaten Kepulauan Yapen
34,9409,BPS Kabupaten Biak Numfor
34,9410,BPS Kabupaten Paniai
34,9411,BPS Kabupaten Puncak Jaya
34,9412,BPS Kabupaten Mimika
34,9413,BPS Kabupaten Boven Digoel
34,9414,BPS Kabupaten Mappi
34,9415,BPS Kabupaten Asmat
34,9416,BPS Kabupaten Yahukimo
34,9417,BPS Kabupaten Pegunungan Bintang
34,9418,BPS Kabupaten Tolikara
34,9419,BPS Kabupaten Sarmi
34,9420,BPS Kabupaten Keerom
34,9426,BPS Kabupaten Waropen
34,9427,BPS Kabupaten Supiori
34,9428,BPS Kabupaten Mamberamo Raya
34,9429,BPS Kabupaten Nduga
34,9430,BPS Kabupaten Lanny Jaya
34,9431,BPS Kabupaten Mamberamo Tengah
34,9432,BPS Kabupaten Yalimo
34,9433,BPS Kabupaten Puncak
34,9434,BPS Kabupaten Dogiyai
34,9435,BPS Kabupaten Intan Jaya
34,9436,BPS Kabupaten Deiyai
34,9471,BPS Kota Jayapura
